ID,variable,value,rfvalue,stdfvalue,mean_value
1,score,-1.0355298519134521,695,0.7181818181818181,0.79773256938349
2,score,-0.2631666362285614,758,0.8327272727272728,0.79773256938349
3,score,-0.9139184951782227,633,0.6054545454545455,0.79773256938349
4,score,-0.10276785492897034,779,0.8709090909090909,0.79773256938349
5,score,-0.1404920071363449,850,1,0.79773256938349
6,score,0.4117355942726135,382,0.14909090909090908,0.79773256938349
7,score,-1.185107707977295,740,0.8,0.79773256938349
8,score,0.9221549034118652,399,0.18,0.79773256938349
9,score,-0.9849250912666321,686,0.7018181818181818,0.79773256938349
10,score,0.5376229882240295,334,0.06181818181818182,0.79773256938349
11,score,-0.4836350679397583,370,0.12727272727272726,0.79773256938349
12,score,-0.32656151056289673,836,0.9745454545454545,0.79773256938349
13,score,-2.0597219467163086,833,0.9690909090909091,0.79773256938349
14,score,-0.8766430020332336,718,0.76,0.79773256938349
15,score,-0.3848940432071686,432,0.24,0.79773256938349
16,score,0.6454890370368958,761,0.8381818181818181,0.79773256938349
17,score,-0.8921936750411987,818,0.9418181818181818,0.79773256938349
18,score,-0.9717519879341125,670,0.6727272727272727,0.79773256938349
19,score,-0.17828159034252167,560,0.4727272727272727,0.79773256938349
20,score,-0.10123193264007568,809,0.9254545454545454,0.79773256938349
21,score,-0.9107539653778076,496,0.3563636363636364,0.79773256938349
22,score,-0.9966245293617249,662,0.6581818181818182,0.79773256938349
23,score,-1.374476671218872,579,0.5072727272727273,0.79773256938349
24,score,-1.8965685367584229,821,0.9472727272727273,0.79773256938349
25,score,-1.1740776300430298,602,0.5490909090909091,0.79773256938349
26,score,-1.2377768754959106,595,0.5363636363636364,0.79773256938349
27,score,-0.8905450105667114,743,0.8054545454545454,0.79773256938349
28,score,0.010745462030172348,464,0.29818181818181816,0.79773256938349
29,score,-1.3228862285614014,774,0.8618181818181818,0.79773256938349
30,score,-1.2393959760665894,850,1,0.79773256938349
31,score,0.51395183801651,490,0.34545454545454546,0.79773256938349
32,score,-0.9760717153549194,587,0.5218181818181818,0.79773256938349
33,score,-0.7295402884483337,835,0.9727272727272728,0.79773256938349
34,score,0.8780348300933838,346,0.08363636363636363,0.79773256938349
