"campaign_id","responders","campaign_name","start_date","end_date","channel","cost_mmk","total_revenue","roi"
1,499,"Campaign_1_2024","8/21/2024","9/30/2024","Phone",450000,178834989248,397410.087217778
2,517,"Campaign_2_2024","9/24/2024","11/6/2024","App Notification",130000,185285950784,1425275.54449231
3,527,"Campaign_3_2024","5/21/2024","7/2/2024","Email",250000,188869818304,755478.273216
4,498,"Campaign_4_2023","7/18/2023","8/28/2023","App Notification",180000,178476602496,991535.680533333
5,495,"Campaign_5_2024","10/28/2024","11/14/2024","SMS",230000,177401442240,771309.618434783
6,503,"Campaign_6_2024","9/16/2024","10/28/2024","App Notification",170000,180268536256,1060402.15444706
7,493,"Campaign_7_2024","4/4/2024","5/16/2024","Phone",390000,176684668736,453036.61214359
8,465,"Campaign_8_2023","9/9/2023","9/19/2023","Phone",310000,166649839680,537579.128
9,522,"Campaign_9_2023","7/10/2023","8/14/2023","Email",240000,187077884544,779490.1856
10,518,"Campaign_10_2023","6/2/2023","7/10/2023","SMS",200000,185644337536,928220.68768
