"location","transaction_count","fraud_count","fraud_rate","avg_amount"
"Mawlamyine",1813,1081,0.596249310535025,2491381.09446773
"Monywa",1852,1102,0.595032397408207,2431875.69368791
"Sittwe",1808,1072,0.592920353982301,2492699.49952987
"Pathein",1768,1040,0.588235294117647,2507051.47312217
"Myitkyina",1824,1065,0.583881578947368,2511435.75488487
"Naypyidaw",1912,1101,0.575836820083682,2476051.23035042
"Taunggyi",1715,987,0.575510204081633,2450435.73537609
"Bago",1727,974,0.563983786913723,2493107.50723219
"Mandalay",2129,1192,0.559887271019258,2480624.79204321
"Yangon",8950,1066,0.119106145251397,2495278.98924581
