account_id,average_transaction,transaction_count,total_amount,min_transaction,max_transaction,transaction_std_dev,customer_id
2,2347534.3255555555,18,42255617.86,158208.81,4826212.82,1376168.0949775933,2
3,2324349.9505,20,46486999.01,451744.31,4792605.21,1305616.955423631,2
4,2229189.74,17,37896225.58,35776.69,4858879.45,1572712.1843917368,2
5,2078750.0608333333,24,49890001.46,63823.56,4637275.32,1385440.1493180047,3
6,2482654.8005882357,17,42205131.61,114574.86,4864053.63,1308620.973562915,4
7,2907887.7660869565,23,66881418.62,61321.52,4977677.22,1399826.0860532154,5
8,2024849.760526316,19,38472145.45,49002.78,4896908.07,1424044.5525021013,6
9,2308971.083333333,15,34634566.25,98378.64,4783578.2,1526916.8244554382,6
10,2178991.7013333333,15,32684875.52,508098.14,4760274.78,1537931.9012546896,7
11,2700521.999130435,23,62112005.98,128094.01,4642399.05,1559230.9190916345,7
12,2454719.261904762,21,51549104.5,80234.3,4940969.35,1613923.2352987283,8
13,2140095.0865625,32,68483042.77,245512.0,4963501.22,1451729.4992352647,8
14,3014968.439166667,24,72359242.54,506553.78,4816823.36,1226877.5167297786,8
15,2745505.198666666,30,82365155.96,111553.8,4375804.63,1248428.90240556,9
17,2950695.556875,16,47211128.91,454581.72,4928194.48,1405215.9876590616,11
19,2143515.842857143,21,45013832.7,9642.77,4961444.51,1679349.1931301467,13
20,2474022.9688888886,18,44532413.44,53138.11,4935440.39,1647591.173088433,14
21,2670241.69375,24,64085800.65,347845.03,4686117.47,1309200.6809312394,15
22,3014150.7744,25,75353769.36,486247.6,4880647.51,1388851.3736128998,15
23,2544241.58,22,55973314.76,54378.72,4529177.45,1490782.4846575498,16
24,2347841.1845454546,22,51652506.06,60982.72,4513564.62,1367882.4799930938,17
27,2581546.8276190474,21,54212483.38,610115.09,4852183.1,1389222.5898031949,19
28,2347853.09,16,37565649.44,263064.99,4684577.99,1503203.4700945506,20
30,2346169.3619047618,21,49269556.6,201609.97,4700673.82,1438363.0993752463,22
31,2531652.4,16,40506438.4,268635.67,4492709.98,1590167.9836160473,23
32,2621524.7214285717,21,55052019.15,317355.94,4815984.85,1430938.6208748068,23
33,1750078.2430434783,23,40251799.59,82083.76,4684703.4,1401480.3140437508,24
34,2535587.75,19,48176167.25,121522.27,4854356.01,1547022.385451618,25
38,2547702.535,14,35667835.49,45278.6,4688105.14,1454023.41754646,26
39,2511896.533043478,23,57773620.26,333665.47,4832602.0,1211931.7186881383,27
41,2786597.9282352943,17,47372164.78,104558.32,4884204.47,1606712.2959183785,28
42,1795923.792666667,15,26938856.89,397197.55,4546030.99,1189700.4559466604,29
43,2864228.908125,16,45827662.53,680385.36,4684413.67,1368474.76981127,30
44,2050903.4166666667,12,24610841.0,56269.87,4485297.3,1615992.027564663,31
45,1564433.785,12,18773205.42,61561.55,2735732.8,858672.8505495829,31
46,2704966.06375,16,43279457.02,1179175.92,4863832.96,1174679.712399418,32
47,2228725.5684615383,26,57946864.78,11434.22,4991130.38,1649323.8617735596,32
48,2960136.6185,20,59202732.37,12249.82,4983953.79,1395364.192619092,33
49,2413668.8711111112,18,43446039.68,149915.75,4724758.65,1735495.7333199312,34
50,2552445.1542857145,21,53601348.24,21043.23,4657120.17,1758337.1036852747,35
51,2334227.443157895,19,44350321.42,27427.16,4344136.91,1307691.8932779469,36
52,2349710.697333333,15,35245660.46,17850.82,4932479.1,1573687.5081310314,36
53,2339258.34875,16,37428133.58,229971.37,3978815.71,1194280.8991950022,36
54,2661037.7030769237,13,34593490.14,673440.68,4173897.23,1195603.7651006992,36
55,2208257.59875,24,52998182.37,166497.51,4540098.3,1163450.3523289296,36
56,2633600.146818181,22,57939203.23,304498.12,4810798.09,1457709.697935359,37
58,2563510.3910714285,28,71778290.95,242603.34,4986318.29,1595811.2323936017,38
60,3066233.16,19,58258430.04,544759.64,4694287.24,1317106.1424282982,40
61,2901393.3375,20,58027866.75,515616.96,4511340.29,1351423.0626792128,41
62,2635659.1125,20,52713182.25,252445.57,4726772.24,1675385.2973590358,42
64,2535236.513846154,13,32958074.68,952745.61,4614221.67,1276286.064975365,43
65,2366836.194285714,14,33135706.72,71053.59,4652997.12,1412719.6902728574,44
67,2568978.8508333336,24,61655492.42,132063.24,4908528.5,1484140.01873114,46
68,2644216.793529412,17,44951685.49,192540.66,4569855.29,1367540.348363276,47
70,1935593.5523076924,13,25162716.18,39004.04,4751983.57,1570649.5840753256,48
71,2614730.444761905,21,54909339.34,127953.33,4838204.34,1546871.7951570014,48
72,2379874.161578947,19,45217609.07,317546.36,4776754.52,1529984.3527150368,48
73,2556343.4461904764,21,53683212.370000005,611660.59,4756228.61,1490253.070923702,49
74,2242990.8832142856,28,62803744.73,414156.44,4609723.02,1441881.9227456506,50
76,1593675.635,14,22311458.89,14657.39,3506303.82,1015695.9908892214,51
77,2444079.971111112,18,43993439.48,88130.62,4998793.91,1728650.1009665318,51
78,2255355.82875,24,54128539.89,16131.42,4540470.69,1509657.2493904517,52
80,2970080.895,12,35640970.74,426555.04,4914297.15,1420650.9403370142,54
81,2004388.5746666668,15,30065828.62,206398.61,4175597.93,1269172.7933451114,55
82,2910492.794545455,22,64030841.48,142246.55,4973425.42,1565505.3295740923,55
83,2859605.5525,28,80068955.47,39383.97,4958193.19,1561067.2940279327,56
85,2717538.1442857143,21,57068301.03,158146.22,4739992.01,1524281.741862384,58
86,2501926.183333333,15,37528892.75,179783.83,4944503.98,1557397.8086555405,59
88,2069617.5163157897,19,39322732.81,19245.92,4620691.05,1622738.5353160026,60
90,2354447.086111111,18,42380047.55,8926.64,4975037.53,1484572.7451101923,61
91,2351105.73375,32,75235383.48,292995.41,4784948.54,1381258.692957209,62
92,3184186.367647059,17,54131168.25,1289826.82,4895088.97,1234257.734590284,63
93,2346904.5478947368,19,44591186.41,49604.01,4991056.25,1652705.953899714,63
94,1886392.3268181817,22,41500631.19,14892.64,4402620.14,1489100.2436969732,64
95,2998545.45,22,65967999.9,473222.22,4916533.52,1281820.7442021405,65
96,2124188.492666667,15,31862827.39,444313.97,4685585.98,1402653.2197747815,65
97,2593369.9225,24,62240878.14,43672.16,4953351.06,1615425.274651234,66
98,3363237.703636364,11,36995614.74,1803102.55,4955649.9,1239658.1438159095,67
99,2664259.8885714286,14,37299638.44,438604.26,4700793.26,1489793.9462543845,68
100,2507210.635294117,17,42622580.8,133322.31,4967279.54,1530444.6785141495,69
101,2603863.1352173914,23,59888852.11,646884.09,4951957.26,1457946.4760725463,70
102,2347495.874,25,58687396.85,523602.41,4284002.49,1049085.927029073,71
103,1682641.86,17,28604911.62,35431.44,3473912.74,996421.7563467674,71
104,1907699.4695,20,38153989.39,86863.82,4169083.18,1280015.02621873,72
105,2062557.0215789475,19,39188583.41,168393.87,4736298.66,1391134.2635513546,73
106,2375491.615555556,18,42758849.08,47587.06,4957541.04,1647684.5474501778,73
107,2511512.830416667,24,60276307.93,423597.11,4735824.42,1341880.808167544,74
108,1899765.5526315789,19,36095545.5,88666.8,4957178.29,1585395.9057104618,75
109,2492971.77,24,59831322.48,100492.07,4944120.25,1511968.0760380146,75
110,2503247.2905,20,50064945.81,692690.71,4825696.08,1186935.9324973696,76
111,2237966.118387097,31,69376949.67,4158.72,4627346.25,1284749.537741572,77
112,2174556.0023076925,13,28269228.03,658502.0,4694764.61,1587290.06503863,78
113,2288137.958421053,19,43474621.21,421082.95,4646549.29,1376126.9351157867,79
114,2385162.66,13,31007114.58,439024.09,4681759.1,1504183.0873304128,79
