Column,Dtype,Value,Count
Total Accounts (account_id),int64,,1516
customer_id,int64,348,5
customer_id,int64,736,5
customer_id,int64,36,5
customer_id,int64,790,5
customer_id,int64,344,4
customer_id,int64,332,4
customer_id,int64,539,4
customer_id,int64,336,4
customer_id,int64,297,4
customer_id,int64,25,4
customer_id,int64,349,4
customer_id,int64,483,4
customer_id,int64,689,4
customer_id,int64,884,4
customer_id,int64,706,4
customer_id,int64,748,4
customer_id,int64,164,4
customer_id,int64,167,4
customer_id,int64,456,4
customer_id,int64,968,3
customer_id,int64,515,3
customer_id,int64,484,3
customer_id,int64,961,3
customer_id,int64,965,3
customer_id,int64,458,3
customer_id,int64,48,3
customer_id,int64,406,3
customer_id,int64,2,3
customer_id,int64,541,3
customer_id,int64,542,3
customer_id,int64,341,3
customer_id,int64,338,3
customer_id,int64,944,3
customer_id,int64,534,3
customer_id,int64,931,3
customer_id,int64,945,3
customer_id,int64,510,3
customer_id,int64,535,3
customer_id,int64,967,3
customer_id,int64,82,3
customer_id,int64,610,3
customer_id,int64,584,3
customer_id,int64,325,3
customer_id,int64,599,3
customer_id,int64,656,3
customer_id,int64,639,3
customer_id,int64,619,3
customer_id,int64,679,3
customer_id,int64,259,3
customer_id,int64,275,3
customer_id,int64,690,3
customer_id,int64,280,3
customer_id,int64,670,3
customer_id,int64,80,3
customer_id,int64,889,3
customer_id,int64,266,3
customer_id,int64,621,3
customer_id,int64,627,3
customer_id,int64,897,3
customer_id,int64,86,3
customer_id,int64,710,3
customer_id,int64,684,3
customer_id,int64,685,3
customer_id,int64,248,3
customer_id,int64,903,3
customer_id,int64,218,3
customer_id,int64,79,3
customer_id,int64,725,3
customer_id,int64,867,3
customer_id,int64,95,3
customer_id,int64,174,3
customer_id,int64,769,3
customer_id,int64,723,3
customer_id,int64,210,3
customer_id,int64,773,3
customer_id,int64,728,3
customer_id,int64,784,3
customer_id,int64,764,3
customer_id,int64,765,3
customer_id,int64,172,3
customer_id,int64,125,3
customer_id,int64,819,3
customer_id,int64,176,3
customer_id,int64,179,3
customer_id,int64,134,3
customer_id,int64,818,3
customer_id,int64,417,3
customer_id,int64,131,3
customer_id,int64,971,3
customer_id,int64,957,3
customer_id,int64,953,3
customer_id,int64,8,3
customer_id,int64,454,2
customer_id,int64,996,2
customer_id,int64,997,2
customer_id,int64,998,2
customer_id,int64,954,2
customer_id,int64,55,2
customer_id,int64,51,2
customer_id,int64,50,2
customer_id,int64,940,2
customer_id,int64,937,2
customer_id,int64,966,2
customer_id,int64,964,2
customer_id,int64,963,2
customer_id,int64,478,2
customer_id,int64,477,2
customer_id,int64,476,2
customer_id,int64,503,2
customer_id,int64,501,2
customer_id,int64,499,2
customer_id,int64,365,2
customer_id,int64,364,2
customer_id,int64,811,2
customer_id,int64,809,2
customer_id,int64,840,2
customer_id,int64,832,2
customer_id,int64,826,2
customer_id,int64,110,2
customer_id,int64,109,2
customer_id,int64,107,2
customer_id,int64,106,2
customer_id,int64,135,2
customer_id,int64,847,2
customer_id,int64,845,2
customer_id,int64,15,2
customer_id,int64,6,2
customer_id,int64,7,2
customer_id,int64,978,2
customer_id,int64,801,2
customer_id,int64,126,2
customer_id,int64,122,2
customer_id,int64,121,2
customer_id,int64,149,2
customer_id,int64,148,2
customer_id,int64,146,2
customer_id,int64,144,2
customer_id,int64,798,2
customer_id,int64,795,2
